"the_geom","OBJECTID","NYSStreetID","LeftFromAddress","LeftToAddress","RightFromAddress","RightToAddress","CompleteStreetName","HighwayNumber","Jurisdiction","FCC","ACC","SPEED","LeftPostal","RightPostal","Shape.STLength(m)"
"MULTILINESTRING ((-78.84903616278 42.900166503647, -78.848675138705 42.900469480111, -78.848522169708 42.900636517492, -78.848470195725 42.900710477301, -78.848369201068 42.900927446182, -78.848336179079 42.901142486839, -78.848336177509 42.901260435941))","6,891","477,789,441","322","366","323","367","Johnson Street",,"12","A41","5","25","14211","14211","139.09737849697"
"MULTILINESTRING ((-78.909331179792 42.952919523307, -78.909860201995 42.954050473211))","2,748","477,774,953",,,,,"Niagara Street","266","01","A31","4","35","14207","14207","132.96202653491"
"MULTILINESTRING ((-78.82463911515 42.956043499616, -78.825382144069 42.956720473756))","2,413","477,827,238","8","38","7","39","Radcliffe Road",,"12","A41","5","25","14214","14214","96.67935974148"
"MULTILINESTRING ((-78.882667728184 42.915474096338, -78.882303166995 42.915448474341))","8,476","600,020,697",,,"505","509","Ferry Street",,"12","A35","4","35","14213","14213","29.92815533902"
"MULTILINESTRING ((-78.820195089098 42.958059487848, -78.820899098319 42.958073501265))","2,463","477,773,751","82","98","69","81","Kenmore Avenue","307","02","A31","4","35","14226","14226","57.51137713529"
"MULTILINESTRING ((-78.817659121266 42.946339527591, -78.8156581576 42.946168462745))","2,221","477,776,577","322","372",,,"Minnesota Avenue",,"12","A45","5","25","14215","14215","164.53503092048"
"MULTILINESTRING ((-78.867628130138 42.939653490183, -78.868823168592 42.93958450511, -78.869084179627 42.939576480451))","4,647","477,778,198","2","54","1","57","Bedford Avenue",,"12","A41","5","25","14216","14216","119.26151432525"
"MULTILINESTRING ((-78.860134160558 42.894674466518, -78.858959090697 42.89515343281))","6,995","484,722,997","200","200","171","201","Cherry Street",,"12","A40","4","25","14204","14204","109.83179912943"
"MULTILINESTRING ((-78.843869151473 42.868095461285, -78.843825202199 42.868087485022))","10,612","477,798,055",,,,,"Elk Street",,"12","A31","4","35","14210","14210","3.70202647207"
"MULTILINESTRING ((-78.869275260789 42.955918359562, -78.869412098859 42.956806450988))","3,498","477,774,354","2624","2658","2645","2661","Delaware Avenue","384","01","A31","3","35","14216","14216","99.37155271969"
"MULTILINESTRING ((-78.850743186479 42.940441473368, -78.850755201022 42.941038464634))","4,536","477,777,942",,,"383","403","Parkside Avenue",,"12","A31","4","35","14216","14216","66.38197119663"
"MULTILINESTRING ((-78.89616713379 42.924058469064, -78.894812126682 42.923965451651))","9,332","477,782,920","86","116","85","113","Potomac Avenue",,"12","A40","5","25","14213","14213","111.19993705033"
"MULTILINESTRING ((-78.824701692736 42.828259627411, -78.824706804364 42.828195610286, -78.824714095374 42.828149455878))","11,804","506,020,431",,,,,"Botanical Drive",,"12","A62","5","35","14218","14218","12.29556188218"
"MULTILINESTRING ((-78.820801185668 42.929853509175, -78.820292113039 42.929905458702, -78.819910111357 42.929969456347, -78.819593120704 42.930048477522, -78.81897717308 42.93024652161))","1,954","516,218,840",,,,,"Ramp",,"01","A63","4","45","14215","14215","156.27480135565"
"MULTILINESTRING ((-78.879882135067 42.888238477442, -78.880028140219 42.888391447257))","7,769","477,792,743","126","128","127","129","Niagara Street",,"12","A31","3","35","14202","14201","20.77862363107"
"MULTILINESTRING ((-78.891611168645 42.92014049506, -78.891369147619 42.922036449208))","8,591","477,784,062","100","154","101","155","Congress Street",,"12","A40","5","25","14213","14213","211.72660602783"
"MULTILINESTRING ((-78.846754185626 42.948811481887, -78.846629177616 42.949894512743, -78.846582098998 42.949941475783))","3,906","477,776,073","208","298","205","299","Wallace Avenue",,"12","A40","5","25","14216","14216","127.32994966381"
"MULTILINESTRING ((-78.821626169326 42.941587508728, -78.821640173847 42.94237351622))","2,112","477,777,641","248","274","247","273","Parkridge Avenue",,"12","A30","4","35","14215","14215","87.39583170801"
"MULTILINESTRING ((-78.886947119934 42.916823495385, -78.885708116816 42.916844462443))","8,499","477,785,025","400","428","391","427","Breckenridge Street",,"12","A40","5","25","14213","14213","101.27726793315"
"MULTILINESTRING ((-78.86954715 42.914066454743, -78.869809198491 42.914086485445, -78.870115204619 42.91409449292, -78.870655153201 42.914086474718, -78.87139719425 42.91410150191, -78.877058131117 42.914129504688))","8,282","477,785,767","2","196","1","197","Highland Avenue",,"12","A41","5","25","14222","14222","613.98777284122"
"MULTILINESTRING ((-78.8282601922 42.893782430834, -78.828251104561 42.894853462977, -78.828258195296 42.895009440845))","6,439","477,791,276","100","198","99","199","Young Street",,"12","A41","5","25","14212","14212","136.43070651947"
"MULTILINESTRING ((-78.803123108969 42.871797468315, -78.803035092444 42.871795444142))","863","477,797,086","1982","1984","1983","1985","Clinton Street","354","01","A31","3","35","14206","14206","7.20103464792"
"MULTILINESTRING ((-78.871842116174 42.878419505139, -78.871658125111 42.878386480328))","10,141","477,795,361","114","120","113","119","Exchange Street",,"12","A41","4","25","14203","14203","15.48641985723"
"MULTILINESTRING ((-78.846659105056 42.865717452451, -78.846373127142 42.865974498281))","10,558","477,798,603","2","24","1","23","Owahn Place",,"12","A41","5","25","14210","14210","36.92911182288"
"MULTILINESTRING ((-78.870368990293 42.858900826124, -78.870341488002 42.858913705201, -78.870289022167 42.858938179887))","9,719","800,002,654",,,,,"Bicycle Route 517",,"12","A76","4","5","14203","14203","7.74808171639"
"MULTILINESTRING ((-78.878774150153 42.880017491765, -78.878788112865 42.879941476635))","9,901","477,794,940",,,,,"State Route 5","5","01","A15","2","65","14202","14202","8.5283644384"
"MULTILINESTRING ((-78.838878198397 42.90654545521, -78.835953146644 42.906518496137, -78.835866172106 42.906502506821, -78.835808204702 42.906466456143))","6,039","477,787,642","104","198",,,"North Parade Avenue",,"12","A41","5","25","14211","14211","252.61749278617"
"MULTILINESTRING ((-78.906181229669 42.94912143598, -78.905698190022 42.949324499426))","2,765","477,776,002","2","18","1","13","Heward Avenue",,"12","A41","5","25","14207","14207","45.45690266642"
"MULTILINESTRING ((-78.891438130293 42.897008486211, -78.892908108714 42.8985724399))","9,096","477,790,226","452","518","449","519","Busti Avenue",,"12","A40","5","25","14201","14201","211.36676110476"
"MULTILINESTRING ((-78.800899153739 42.881139492618, -78.800779119151 42.881184450651, -78.800131092534 42.88118645496))","838","477,794,537","2","64","1","65","Bismarck Street",,"12","A41","5","25","14206","14206","63.9982375429"
"MULTILINESTRING ((-78.847295196254 42.881156509907, -78.847296139417 42.881606486202))","10,821","477,794,527","152","160","153","161","Bond Street",,"12","A41","5","25","14206","14206","50.02883668398"
"MULTILINESTRING ((-78.812991119419 42.938230452559, -78.810887148382 42.939093486581))","2,078","477,778,449","1128","1196","1129","1193","Kensington Avenue",,"12","A31","4","35","14215","14215","196.83659517463"
"MULTILINESTRING ((-78.905475129483 42.952932504317, -78.905381151753 42.952981454138, -78.904203208901 42.953304503097, -78.903370125499 42.95354346334, -78.903179213032 42.9536024746, -78.903041170488 42.953619523766, -78.90293921032 42.953600496456, -78.901270126776 42.952767469262, -78.901058189111 42.952637487529))","2,757","477,775,024","106","240","111","239","Riverside Avenue",,"12","A40","5","25","14207","14207","409.43972321082"
"MULTILINESTRING ((-78.853937114314 42.833787475961, -78.854180119163 42.833717428267, -78.854260207311 42.833675471854, -78.854346169843 42.833582445887, -78.854387852556 42.833462586698, -78.854350499935 42.833330436662, -78.854100282414 42.832950564927, -78.853983456417 42.832737718591, -78.853920103346 42.832572446493))","11,734","477,802,774","1800","1872","1801","1873","Hamburg Turnpike",,"12","A41","5","25","14218","14218","162.22048164068"
"MULTILINESTRING ((-78.800151092116 42.884818462195, -78.799644147027 42.884616430117))","907","477,793,627","1894","1916","1893","1913","William Street",,"12","A31","4","35","14206","14206","47.14157613006"
"MULTILINESTRING ((-78.855707179321 42.86802743368, -78.855230109241 42.869495470276, -78.855091186314 42.869994461843))","10,531","477,798,082","70","198","69","199","Fitzgerald Street",,"12","A41","5","25","14210","14210","224.44640635499"
"MULTILINESTRING ((-78.847319150781 42.876868471334, -78.847314142428 42.877246437906))","10,765","477,795,807","2","12","1","11","Bond Street",,"12","A41","5","25","14210","14210","42.02464158083"
"MULTILINESTRING ((-78.9009542139 42.938993460184, -78.900506194266 42.939121476138))","2,989","477,778,320","114","122","113","119","Austin Street",,"12","A31","4","35","14207","14207","39.2693111731"
"MULTILINESTRING ((-78.853931180782 42.88335643869, -78.852901123256 42.883344430532))","7,194","477,794,019","2","26","1","25","Howard Street",,"12","A41","5","25","14206","14206","84.23004808253"
"MULTILINESTRING ((-78.813713112399 42.909775492659, -78.813711149366 42.910511435691))","1,334","477,786,861","2034","2056","2033","2059","Bailey Avenue","62","01","A21","3","35","14211","14211","81.82157294944"
"MULTILINESTRING ((-78.830222092331 42.868972447365, -78.829725200525 42.86968148505))","11,046","477,797,779","62","80","61","81","Harrison Street",,"12","A41","5","25","14210","14210","88.68755493338"
"MULTILINESTRING ((-78.814053102543 42.955577443614, -78.814755166999 42.955564458844, -78.814826189079 42.955539489132, -78.815495131148 42.954961451246, -78.815534120522 42.954870472654, -78.81554018374 42.954649498986, -78.81554115393 42.954421492348))","2,316","477,774,677",,,,,"Michael Road",,"12","A41","5","25","14214","14214","208.65606525002"
"MULTILINESTRING ((-78.843302117107 42.922237437186, -78.843262169899 42.922412462255, -78.843226195696 42.922517484786))","5,670","477,783,413",,,,,"State Route 33","33","01","A15","2","65","14214","14214","31.77219966633"
"MULTILINESTRING ((-78.832272137126 42.86976045544, -78.831313090371 42.871112464823))","11,039","477,797,610","2","50","1","55","Troupe Street",,"12","A41","5","25","14210","14210","169.54634823542"
"MULTILINESTRING ((-78.864239189409 42.889786481206, -78.864149103437 42.889814466771))","7,092","477,792,409","158","158","159","159","Sycamore Street",,"12","A31","4","35","14204","14204","7.9951797977"
"MULTILINESTRING ((-78.888545129574 42.891503471187, -78.889258174423 42.891153458633))","9,209","477,792,109","26","50","15","49","Virginia Street",,"06","A30","3","35","14201","14201","70.08989442173"
"MULTILINESTRING ((-78.849129155855 42.910115476567, -78.848086099441 42.910106476058))","5,374","477,786,775","130","158","129","155","Landon Street",,"12","A41","5","25","14208","14208","85.2509360652"
"MULTILINESTRING ((-78.835058145862 42.932831518498, -78.835034123775 42.93366751013))","4,297","477,779,977","2","24","1","25","Holden Street",,"12","A41","5","25","14214","14214","92.96697047947"
"MULTILINESTRING ((-78.839319138897 42.926983446744, -78.839304118354 42.927492481837))","5,792","477,782,031","1928","1972","1929","1971","Fillmore Avenue",,"12","A31","4","35","14214","14214","56.60836069037"
"MULTILINESTRING ((-78.898709184827 42.928207483797, -78.898726129407 42.928194480747, -78.898843211333 42.92803850493))","9,455","477,781,699",,,,,"Ramp",,"06","A63","2","45","14213","14213","21.80738001505"
"MULTILINESTRING ((-78.854391127801 42.876839498263, -78.854207148803 42.876806444783))","10,371","477,795,832","592","596","593","603","Seneca Street","16","01","A21","4","35","14210","14210","15.48641985749"
"MULTILINESTRING ((-78.876956612459 42.867187754927, -78.876920646572 42.867198626666))","9,765","800,002,919",,,,,"Parking Lot",,"10","A75","4","15","14203","14203","3.18012892816"
"MULTILINESTRING ((-78.852935192165 42.893127479405, -78.851938099798 42.893118494056))","6,831","477,791,487","2","48","1","51","Beckwith Street",,"12","A41","5","25","14212","14212","81.51734355336"
"MULTILINESTRING ((-78.864473142749 42.953789486826, -78.864474136751 42.954200471494))","3,459","477,774,792","216","232","217","229","Virgil Avenue",,"12","A41","5","25","14216","14216","45.69467036793"
"MULTILINESTRING ((-78.874347587324 42.862200194665, -78.874397349586 42.862126081983, -78.874502679752 42.862029134276, -78.874521386223 42.862013382977))","9,746","800,002,541",,,,,"Outer Harbor Drive",,"12","A40","4","25","14203","14203","25.31461882995"
"MULTILINESTRING ((-78.898452210391 42.93710044856, -78.898289190406 42.93743149154, -78.898255138961 42.937600481403))","3,014","477,778,653","302","302","281","297","Tonawanda Street",,"12","A31","4","35","14207","14207","58.13633937683"
"MULTILINESTRING ((-78.821774089651 42.840404458333, -78.821773199726 42.84044950717))","11,461","477,801,698",,,,,"Connecting Road",,"12","A60","5","25","14220","14220","5.00899191455"
"MULTILINESTRING ((-78.889632127278 42.925891438619, -78.888387185599 42.925910476955))","9,361","477,782,379","260","280","251","283","Bird Avenue",,"12","A40","5","25","14213","14213","101.74297125596"
"MULTILINESTRING ((-78.864212128833 42.872738436761, -78.864077136426 42.873144477193))","10,247","477,796,812","402","412","409","415","Louisiana Street",,"12","A31","4","35","14204","14204","46.47448870064"
"MULTILINESTRING ((-78.849380206317 42.927053480035, -78.847281180959 42.925803482078))","5,603","516,218,677",,,,,"State Route 198","198","01","A15","2","65","14214","14208","220.74153211431"
"MULTILINESTRING ((-78.902957317004 42.932900971756, -78.902952535501 42.932900856466, -78.902947846658 42.932899912629, -78.902943392946 42.932898168922, -78.902939309687 42.932895678326, -78.902935720949 42.932892516518, -78.902932735775 42.932888779567, -78.902930444867 42.932884581019, -78.902928917833 42.932880048444, -78.902928201071 42.932875319562, -78.90292831636 42.932870538058, -78.902929260198 42.932865849216, -78.902931003905 42.932861395504, -78.9029334945 42.932857312245, -78.902936656309 42.932853723507, -78.902940393259 42.932850738333, -78.902944591808 42.932848447424, -78.902949124383 42.93284692039, -78.902953853265 42.932846203629, -78.902958634768 42.932846318918, -78.90296332361 42.932847262756, -78.902967777323 42.932849006463, -78.902971860582 42.932851497058, -78.902975449319 42.932854658866, -78.902978434494 42.932858395817, -78.902980725402 42.932862594366, -78.902982252436 42.932867126941, -78.902982969198 42.932871855822, -78.902982853908 42.932876637326, -78.902981910071 42.932881326168, -78.902980166364 42.932885779881, -78.902977675768 42.93288986314, -78.90297451396 42.932893451877, -78.902970777009 42.932896437052, -78.902966578461 42.93289872796, -78.902962045886 42.932900254994, -78.902957317004 42.932900971756))","12,024",,,,,,,,,,,,,,"19.1511488189"
"MULTILINESTRING ((-78.869533106232 42.95799246063, -78.869476109205 42.957994480326))","3,516","477,773,773",,,,,"Villa Avenue",,"12","A41","5","25","14216","14216","4.66001072952"
"MULTILINESTRING ((-78.84552414959 42.920121469604, -78.845481178066 42.921044446961))","5,502","477,784,071","2","22","1","31","Daisy Place",,"12","A41","5","25","14208","14208","102.67795527821"
