"the_geom","OBJECTID","NYSStreetID","LeftFromAddress","LeftToAddress","RightFromAddress","RightToAddress","CompleteStreetName","HighwayNumber","Jurisdiction","FCC","ACC","SPEED","LeftPostal","RightPostal","Shape.STLength(m)"
"MULTILINESTRING ((-78.827940110476 42.848485466867, -78.8279341328 42.849160502252))","11,394","477,800,746","54","76","55","77","Folger Street",,"12","A41","5","25","14220","14220","75.05139905444"
"MULTILINESTRING ((-78.834440165087 42.90434244923, -78.834454154032 42.905256491058, -78.8344450921 42.906071454417))","6,359","477,788,080","2","58","1","63","Marshall Street",,"12","A41","5","25","14211","14211","192.24090822964"
"MULTILINESTRING ((-78.813824190879 42.955580489953, -78.813848187363 42.956965452142))","2,318","477,774,435","3608","3640","3609","3639","Bailey Avenue","62","01","A21","3","35","14226","14226","153.99217187911"
"MULTILINESTRING ((-78.88994511487 42.895429450327, -78.889395199291 42.895704498285))","9,101","477,790,762","100","112","101","111","Hudson Street",,"12","A40","5","25","14201","14201","54.3698749308"
"MULTILINESTRING ((-78.81538209662 42.831904490742, -78.815343082583 42.83192650145))","18","477,827,796","1101","1101","1100","1100","Mckinley Parkway",,"12","A31","4","35","14218","14218","4.02243707216"
"MULTILINESTRING ((-78.902533026123 42.915189413663, -78.902227202339 42.915184431305, -78.90186511219 42.91518850877, -78.901668496429 42.915191303658))","9,281","800,025,640",,,,,"Robert Rich Way",,"12","A41","5","25","14213","14207","70.66395113182"
"MULTILINESTRING ((-78.901058189111 42.952637487529, -78.900534123188 42.953194512855))","2,687","477,775,023","304","330","305","327","Ontario Street",,"12","A31","4","35","14207","14207","75.2842035223"
"MULTILINESTRING ((-78.862473157837 42.92841848115, -78.862503151604 42.928558474714, -78.862563159734 42.928778478404, -78.86265316171 42.928988482777, -78.86288315806 42.929288475065))","4,736","600,058,531",,,,,"Unnamed Street",,"14","A70","6","15","14209","14209","103.46615932333"
"MULTILINESTRING ((-78.878144103503 42.899471440259, -78.878086192941 42.901436486422, -78.878095125883 42.902269477708))","8,017","477,789,614","98","198","97","199","Mariner Street",,"12","A40","5","25","14201","14201","311.1494159233"
"MULTILINESTRING ((-78.801176134249 42.889772485353, -78.79999616611 42.88977551835))","933","477,792,416","1272","1302","1267","1301","East Lovejoy Street",,"12","A41","5","25","14206","14206","96.46380046424"
"MULTILINESTRING ((-78.827678182157 42.94958649503, -78.824805153854 42.948996496453))","4,038","477,776,029","2","78","1","75","Highgate Avenue",,"12","A41","5","25","14214","14214","243.64560431117"
"MULTILINESTRING ((-78.864872180045 42.907639474089, -78.863709164456 42.907609461811))","8,232","477,787,372","56","88","59","89","Northampton Street",,"12","A41","5","25","14209","14209","95.11219690444"
"MULTILINESTRING ((-78.873646131928 42.926007446911, -78.873491207004 42.926006484529))","5,066","477,782,294","680","686",,,"Bird Avenue",,"12","A40","5","25","14209","14209","12.65881906028"
"MULTILINESTRING ((-78.863230373281 42.852378699972, -78.863507141007 42.852844602424, -78.863539345498 42.852893539066))","9,570","477,800,325",,,,,"Ramp",,"12","A63","4","25","14218","14218","62.57656582839"
